A = 0,681936, B = -4,767449, C = 4,101840, D = 11,539799, x1 = 5,986248, x2 = 1,004802
A = 4,641713, B = 0,253456, C = -2,372051, D = 44,105762, x1 = 0,688082, x2 = -0,742686
A = -4,452193, B = -3,349559, C = 1,390881, D = 35,989426, x1 = -1,049896, x2 = 0,297557
A = -3,565325, B = 4,801325, C = 2,488021, D = 58,535133, x1 = -0,399613, x2 = 1,746285
A = -2,621082, B = -3,138066, C = -0,605945, D = 3,494533, x1 = -0,955222, x2 = -0,242018
A = -1,052431, B = 3,559221, C = 0,742668, D = 15,794481, x1 = -0,197165, x2 = 3,579070
A = -1,366466, B = 4,150364, C = 2,487106, D = 30,819706, x1 = -0,512704, x2 = 3,550002
A = -1,080203, B = -1,528520, C = -0,010529, D = 2,290879, x1 = -1,408108, x2 = -0,006922
A = -4,868771, B = -2,846919, C = 0,182348, D = 11,656191, x1 = -0,642979, x2 = 0,058249
A = 1,479995, B = -4,892880, C = 0,793024, D = 19,245588, x1 = 3,135098, x2 = 0,170913
A = -0,072786, B = 3,960235, C = 2,380901, D = 16,376648, x1 = -0,594702, x2 = 55,003998
A = -3,388012, B = -2,710196, C = 4,588611, D = 69,530243, x1 = -1,630554, x2 = 0,830617
A = 1,351817, B = 0,119175, C = -3,457900, D = 18,711994, x1 = 1,555892, x2 = -1,644051
A = 0,987122, B = -1,548357, C = -1,155583, D = 6,960215, x1 = 2,120599, x2 = -0,552042
A = -1,440932, B = 3,976105, C = -2,681204, D = 0,355680, x1 = 1,172754, x2 = 1,586645
A = 3,682211, B = 4,905393, C = -3,165227, D = 70,683014, x1 = 0,475519, x2 = -1,807706
A = -0,366375, B = 4,318521, C = -0,507980, D = 17,905180, x1 = 0,118826, x2 = 11,668335
A = -1,245918, B = -4,971313, C = 3,679770, D = 43,052719, x1 = -4,628222, x2 = 0,638142
A = 2,739189, B = 3,216804, C = -4,255043, D = 56,969296, x1 = 0,790562, x2 = -1,964926
A = 0,489669, B = 1,625263, C = 0,035249, D = 2,572438, x1 = -0,021832, x2 = -3,297274
A = 3,759422, B = 2,183447, C = -0,795160, D = 16,724808, x1 = 0,253516, x2 = -0,834310
A = 4,100314, B = 4,870602, C = -3,276315, D = 77,458450, x1 = 0,479286, x2 = -1,667147
A = -4,712821, B = 2,377239, C = 2,310709, D = 49,211098, x1 = -0,492043, x2 = 0,996463
A = -4,736015, B = 4,055452, C = 1,986298, D = 54,075237, x1 = -0,348197, x2 = 1,204498
A = -1,501663, B = 3,394422, C = 4,368572, D = 37,762592, x1 = -0,915886, x2 = 3,176328
A = 2,580187, B = -4,817194, C = -1,256905, D = 36,177559, x1 = 2,099067, x2 = -0,232073
A = -0,288248, B = -0,411542, C = 3,423718, D = 4,116886, x1 = -4,233426, x2 = 2,805690
A = 1,086917, B = -3,106021, C = -0,829646, D = 13,254391, x1 = 3,103585, x2 = -0,245942
A = -0,017243, B = -0,579699, C = -3,915372, D = 0,066000, x1 = -24,259218, x2 = -9,360164
A = 4,357890, B = 0,144810, C = -0,249489, D = 4,369952, x1 = 0,223231, x2 = -0,256460
A = -1,318857, B = -2,296976, C = 1,022522, D = 10,670340, x1 = -2,109222, x2 = 0,367581
A = 4,415875, B = 4,818110, C = -4,656056, D = 105,456421, x1 = 0,617215, x2 = -1,708303
A = -4,952696, B = -1,018250, C = 0,878780, D = 18,446154, x1 = -0,536390, x2 = 0,330794
A = -3,691061, B = 4,988402, C = 4,034699, D = 84,453430, x1 = -0,569139, x2 = 1,920621
A = -3,341014, B = -0,548265, C = 4,208960, D = 56,549370, x1 = -1,207447, x2 = 1,043346
A = 0,135960, B = -2,053743, C = 4,181494, D = 1,943796, x1 = 12,679994, x2 = 2,425500
A = 2,155675, B = -3,843043, C = 1,488845, D = 1,931117, x1 = 1,213701, x2 = 0,569055
A = 4,446394, B = 1,834315, C = -3,595538, D = 67,313423, x1 = 0,716329, x2 = -1,128869
A = 0,785089, B = 3,482619, C = 2,537766, D = 4,159147, x1 = -0,919144, x2 = -3,516810
A = 0,928526, B = 1,135136, C = -1,875515, D = 8,254392, x1 = 0,935843, x2 = -2,158357
