A = 1,391491, B = -1,548052, C = 3,621174, D = -17,758860, x1 = 1,077050 + 2,868632i, x2 = 1,077050 - 2,868632i
A = -2,814569, B = -4,464705, C = -1,779077, D = -0,095751, x1 = -6,283110 + -0,000000i, x2 = -6,283110 - -0,000000i
A = -3,875393, B = 0,758843, C = -1,744591, D = -26,468060, x1 = 1,470407 - 9,880352i, x2 = 1,470407 + 9,880352i
A = 2,851497, B = -1,047243, C = 2,539292, D = -27,866417, x1 = 1,493105 + 7,408406i, x2 = 1,493105 - 7,408406i
A = -2,761467, B = -3,948027, C = -4,083529, D = -29,519205, x1 = -5,451173 - 7,435477i, x2 = -5,451173 + 7,435477i
A = -4,100009, B = -3,255257, C = -1,754967, D = -18,184822, x1 = -6,673291 - 8,697433i, x2 = -6,673291 + 8,697433i
A = 0,448775, B = -0,247353, C = 0,960265, D = -1,662588, x1 = 0,055503 + 0,224387i, x2 = 0,055503 - 0,224387i
A = -1,473891, B = -2,180090, C = -2,296976, D = -8,789177, x1 = -1,606608 - 2,084397i, x2 = -1,606608 + 2,084397i
A = 2,332682, B = -2,113254, C = 1,054262, D = -5,371190, x1 = 2,464775 + 2,608018i, x2 = 2,464775 - 2,608018i
A = 2,585375, B = -1,675314, C = 4,811090, D = -46,947212, x1 = 2,165658 + 8,767433i, x2 = 2,165658 - 8,767433i
A = 4,685354, B = 2,783135, C = 1,534624, D = -21,015188, x1 = -6,519987 + 10,735496i, x2 = -6,519987 - 10,735496i
A = -2,455061, B = 3,515884, C = -3,790246, D = -24,859703, x1 = 4,315855 - 6,013647i, x2 = 4,315855 + 6,013647i
A = 3,471023, B = -0,832697, C = 4,107638, D = -56,337437, x1 = 1,445155 + 12,987379i, x2 = 1,445155 - 12,987379i
A = 4,795221, B = -3,582110, C = 4,862667, D = -80,438736, x1 = 8,588504 + 21,444880i, x2 = 8,588504 - 21,444880i
A = -1,987518, B = -3,416700, C = -4,002350, D = -20,145130, x1 = -3,395376 - 4,444225i, x2 = -3,395376 + 4,444225i
A = 4,406720, B = -1,510209, C = 0,979491, D = -14,984640, x1 = 3,327534 + 8,244219i, x2 = 3,327534 - 8,244219i
A = -4,128696, B = -2,722709, C = -2,307657, D = -30,697315, x1 = -5,620619 - 11,306900i, x2 = -5,620619 + 11,306900i
A = 0,581225, B = 2,938475, C = 4,913023, D = -2,787652, x1 = -0,853957 + 0,410988i, x2 = -0,853957 - 0,410988i
A = 4,710074, B = 3,129215, C = 4,138767, D = -68,183609, x1 = -7,369417 + 19,420132i, x2 = -7,369417 - 19,420132i
A = 1,426893, B = -0,430769, C = 0,743279, D = -4,056756, x1 = 0,307331 + 1,426893i, x2 = 0,307331 - 1,426893i
A = -4,406415, B = 3,280892, C = -1,851406, D = -21,868000, x1 = 7,228486 - 10,096365i, x2 = 7,228486 + 10,096365i
A = -4,840083, B = -4,878231, C = -2,615894, D = -26,847443, x1 = -11,805522 - 12,339839i, x2 = -11,805522 + 12,339839i
A = 3,934599, B = -0,068819, C = 3,020570, D = -47,534187, x1 = 0,135388 + 13,487125i, x2 = 0,135388 - 13,487125i
A = 1,446119, B = -4,708243, C = 4,781182, D = -5,489079, x1 = 3,404340 + 1,616810i, x2 = 3,404340 - 1,616810i
A = 3,053225, B = 3,559832, C = 4,446089, D = -41,627232, x1 = -5,434484 + 9,775089i, x2 = -5,434484 - 9,775089i
A = 4,938963, B = 1,002686, C = 2,106235, D = -40,605087, x1 = -2,476115 + 15,618372i, x2 = -2,476115 - 15,618372i
A = -1,378368, B = 1,468093, C = -4,859920, D = -24,639736, x1 = 1,011786 - 3,376298i, x2 = 1,011786 + 3,376298i
A = 4,319742, B = 0,700552, C = 1,281320, D = -21,649117, x1 = -1,513102 + 9,897773i, x2 = -1,513102 - 9,897773i
A = 3,726462, B = -1,282540, C = 3,972136, D = -57,563145, x1 = 2,389668 + 14,067085i, x2 = 2,389668 - 14,067085i
A = 4,179968, B = 0,546739, C = 2,304300, D = -38,228676, x1 = -1,142676 + 12,883526i, x2 = -1,142676 - 12,883526i
A = 4,645986, B = -0,792718, C = 2,479782, D = -45,455730, x1 = 1,841478 + 15,583111i, x2 = 1,841478 - 15,583111i
A = 1,652425, B = 2,588733, C = 3,141728, D = -14,064342, x1 = -2,138844 + 3,091404i, x2 = -2,138844 - 3,091404i
A = -2,393719, B = 1,337473, C = -3,763390, D = -34,245159, x1 = 1,600767 - 6,978830i, x2 = 1,600767 + 6,978830i
A = -1,862392, B = -2,444075, C = -3,610492, D = -20,923101, x1 = -2,275913 - 4,164435i, x2 = -2,275913 + 4,164435i
A = 0,376141, B = -1,171453, C = 4,918821, D = -6,028379, x1 = 0,220316 + 0,460677i, x2 = 0,220316 - 0,460677i
A = 4,215980, B = -3,866848, C = 1,338389, D = -7,617972, x1 = 8,151277 + 5,577218i, x2 = 8,151277 - 5,577218i
