A = 3,034303, B = 3,048037, C = 0,298929, D = 5,662365, x1 = -0,110151, x2 = -0,894375
A = 1,098208, B = 2,755974, C = -4,525743, D = 27,476219, x1 = 1,131754, x2 = -3,641273
A = -3,047731, B = -2,353130, C = 3,890652, D = 52,967861, x1 = -1,580033, x2 = 0,807941
A = 3,804285, B = 2,246620, C = -4,979553, D = 80,821861, x1 = 0,886300, x2 = -1,476850
A = -0,557726, B = 1,809290, C = 1,224861, D = 6,006078, x1 = -0,575049, x2 = 3,819098
A = -3,893704, B = 4,422894, C = 4,110690, D = 83,585228, x1 = -0,606056, x2 = 1,741965
A = 1,717124, B = 2,145909, C = -3,655965, D = 29,715906, x1 = 0,962458, x2 = -2,212170
A = -3,393200, B = 4,311502, C = -0,475936, D = 12,129265, x1 = 0,122126, x2 = 1,148505
A = 1,508987, B = -0,883663, C = -1,599017, D = 10,432444, x1 = 1,363031, x2 = -0,777431
A = 0,508896, B = 0,446639, C = -1,591693, D = 3,439511, x1 = 1,383341, x2 = -2,261003
A = 3,630024, B = -4,504990, C = -4,513230, D = 85,827469, x1 = 1,896585, x2 = -0,655550
A = -0,588855, B = -4,982605, C = -4,077731, D = 15,221583, x1 = -7,543529, x2 = -0,917985
A = -2,733390, B = 0,247047, C = 1,960051, D = 21,491367, x1 = -0,802818, x2 = 0,893200
A = -2,506943, B = -4,017914, C = -1,064333, D = 5,470743, x1 = -1,267854, x2 = -0,334860
A = -3,315989, B = 1,629230, C = 3,100528, D = 43,779659, x1 = -0,752021, x2 = 1,243347
A = -4,359111, B = 4,533677, C = 1,179693, D = 41,123878, x1 = -0,215539, x2 = 1,255585
A = -2,328715, B = 4,703361, C = 1,699118, D = 37,948654, x1 = -0,312809, x2 = 2,332533
A = -0,410016, B = -3,734092, C = -3,627583, D = 7,993975, x1 = -8,001461, x2 = -1,105725
A = 2,539292, B = -1,089053, C = -2,811823, D = 29,746195, x1 = 1,288363, x2 = -0,859482
A = -0,842158, B = 0,905637, C = 3,508865, D = 12,640254, x1 = -1,573147, x2 = 2,648523
A = -4,595630, B = 0,382245, C = 4,392682, D = 80,894676, x1 = -0,936966, x2 = 1,020142
A = -3,229621, B = -1,090274, C = 3,760949, D = 49,774456, x1 = -1,261042, x2 = 0,923456
A = -4,212012, B = 3,807947, C = 0,915098, D = 29,918076, x1 = -0,197269, x2 = 1,101337
A = -3,677633, B = 2,474594, C = 4,642934, D = 74,423645, x1 = -0,836451, x2 = 1,509328
A = -1,299020, B = 2,526780, C = 4,977111, D = 32,246082, x1 = -1,213139, x2 = 3,158282
A = -4,941710, B = -0,124363, C = 3,163396, D = 62,545803, x1 = -0,812771, x2 = 0,787605
A = -3,691671, B = 4,172949, C = 4,709769, D = 86,961166, x1 = -0,697834, x2 = 1,828203
A = -2,380291, B = -0,401166, C = 3,714866, D = 35,530781, x1 = -1,336378, x2 = 1,167841
A = -0,339213, B = -3,414258, C = -2,409894, D = 8,387288, x1 = -9,301441, x2 = -0,763792
A = 0,699942, B = -3,861660, C = -0,219275, D = 15,526338, x1 = 5,573324, x2 = -0,056210
A = 0,342570, B = -4,897152, C = 3,744774, D = 18,850708, x1 = 13,484677, x2 = 0,810654
A = -2,730644, B = -1,308176, C = 2,396161, D = 27,883575, x1 = -1,206431, x2 = 0,727358
A = 0,488754, B = 4,233986, C = -2,990661, D = 23,773426, x1 = 0,656582, x2 = -9,319398
A = -2,593310, B = 2,771844, C = 3,818628, D = 47,294662, x1 = -0,791511, x2 = 1,860355
A = 3,817408, B = -4,291360, C = -4,541307, D = 87,759857, x1 = 1,789091, x2 = -0,664936
A = 1,667684, B = -3,536027, C = -2,591784, D = 29,792593, x1 = 2,696640, x2 = -0,576318
A = 0,611133, B = -1,817530, C = 0,156407, D = 2,921074, x1 = 2,885334, x2 = 0,088700
A = -0,831782, B = -4,665212, C = -1,779687, D = 15,842957, x1 = -5,196995, x2 = -0,411701
A = -2,567980, B = -4,887082, C = 4,359721, D = 68,666275, x1 = -2,564972, x2 = 0,661888
A = 0,040742, B = -3,128300, C = -2,650990, D = 10,218287, x1 = 77,621445, x2 = -0,838271
A = 0,227211, B = 1,998199, C = 0,464950, D = 3,570232, x1 = -0,239190, x2 = -8,555274
A = 3,738975, B = 2,849666, C = -1,147649, D = 25,284721, x1 = 0,291353, x2 = -1,053505
A = 3,190252, B = -3,744774, C = 0,338603, D = 9,702417, x1 = 1,075094, x2 = 0,098723
A = 4,928282, B = -4,384442, C = 0,256508, D = 14,166755, x1 = 0,826689, x2 = 0,062960
A = 1,004822, B = -4,592273, C = -4,724418, D = 40,077774, x1 = 5,435278, x2 = -0,865043
A = -2,723014, B = -0,890988, C = 1,883144, D = 21,305170, x1 = -1,011148, x2 = 0,683941
A = 3,627583, B = -1,438795, C = -2,839900, D = 43,278023, x1 = 1,105061, x2 = -0,708434
A = 4,459822, B = -1,615192, C = -1,198920, D = 23,996725, x1 = 0,730280, x2 = -0,368115
A = -2,124546, B = -3,365428, C = -0,395367, D = 7,966204, x1 = -1,456282, x2 = -0,127788
A = 4,783013, B = -3,507950, C = -3,887906, D = 86,689331, x1 = 1,340019, x2 = -0,606601
A = -1,432081, B = -4,430830, C = 1,515397, D = 28,312939, x1 = -3,404773, x2 = 0,310793
A = 2,564318, B = 2,224952, C = -0,059053, D = 5,556134, x1 = 0,025776, x2 = -0,893434
A = 4,231239, B = 1,441542, C = -2,623829, D = 46,486233, x1 = 0,635339, x2 = -0,976029
A = -1,547746, B = -1,147343, C = 0,960265, D = 7,261381, x1 = -1,241172, x2 = 0,499873
A = -2,872250, B = -1,096377, C = 4,491867, D = 52,809105, x1 = -1,455891, x2 = 1,074177
A = 4,722892, B = -1,179388, C = -0,175329, D = 4,703196, x1 = 0,354452, x2 = -0,104734
A = -1,094546, B = 4,423810, C = -2,525864, D = 8,511398, x1 = 0,688130, x2 = 3,353555
A = 0,849483, B = 4,114658, C = -3,768273, D = 29,734745, x1 = 0,787714, x2 = -5,631434
A = 2,818537, B = -0,194860, C = -2,244484, D = 25,342613, x1 = 0,927610, x2 = -0,858475
A = 2,363506, B = 2,591479, C = -3,533586, D = 40,122372, x1 = 0,791778, x2 = -1,888233
A = -3,977020, B = 4,231544, C = 2,699209, D = 60,845196, x1 = -0,448676, x2 = 1,512675
A = 1,840419, B = 4,315165, C = 1,604510, D = 6,808766, x1 = -0,463428, x2 = -1,881236
A = -2,632374, B = -3,133488, C = 3,955657, D = 51,469826, x1 = -1,957878, x2 = 0,767512
A = 3,074282, B = -1,869106, C = 0,016022, D = 3,296533, x1 = 0,599285, x2 = 0,008696
A = 1,393628, B = 1,083254, C = -0,326090, D = 2,991232, x1 = 0,231864, x2 = -1,009154
A = -3,830836, B = 3,279061, C = -0,171972, D = 8,117055, x1 = 0,056126, x2 = 0,799839
